Date            R1  T1  CFreq      rms   sfnr    rdc study  Nout status drft drf2  esp  gmn gmn1 gmnN gtop gtop1 gtopN notes
20100218.104644  9  101 1277195110 0.029 389.9   8.7 97 1    PASS   -0.5  0.7  472  2.0  1.7  1.9  5.8  4.5  5.4 "first BIRN on MR750 KL"
20100218.111722  9  101 1277195180 0.030 392.4   9.7 99 1    PASS   -0.4  0.6  472  1.7  1.6  1.6  4.7  4.4  4.3 "repeat KL"
20100218.133839  9  102 1277195250 0.026 390.9  11.0 100 2    PASS   -0.4  0.5  472  1.8  1.6  1.7  5.2  4.2  4.8 "birn 1 CK"
20100218.134706  9  102 1277195320 0.025 387.6  10.3 101 1    PASS   -0.3  0.4  472  1.5  1.5  1.4  3.9  4.0  3.7 "birn 2 CK"
20100218.135513  9  102 1277195320 0.026 389.9  10.4 102 1    PASS   -0.3  0.4  472  1.4  1.5  1.4  3.8  3.9  3.7 "birn 3 CK"
20100218.140318  9  102 1277195390 0.027 389.3   8.9 103 1    PASS   -0.3  0.4  472  1.4  1.5  1.4  3.8  3.9  3.7 "birn 4 CK"
20100218.141209  9  102 1277195460 0.028 374.5   9.2 104 6    PASS   -0.3  0.4  472  1.5  1.5  1.4  3.8  3.9  3.6 "birn 5 CK"
20100218.141932  9  102 1277195530 0.057 369.7   4.9 105 3    PASS   -0.2  0.9  472  1.4  1.5  1.4  3.7  3.8  3.6 "birn 6 CK (spike KL)"
20100218.142648  9  102 1277195530 0.027 389.9  10.7 106 1    PASS   -0.2  0.3  472  1.4  1.5  1.4  3.7  3.7  3.6 "birn 7 CK"
20100218.143407  9  102 1277195600 0.026 387.6  10.9 107 1    PASS   -0.2  0.2  472  1.4  1.4  1.4  3.7  3.7  3.7 "birn 8 CK"
20100218.144121  9  102 1277195600 0.028 385.3  10.3 108 1    PASS   -0.2  0.3  472  1.4  1.5  1.4  3.7  3.7  3.6 "birn 9 CK"
20100219.143911  9  102 1277195260 0.025 390.8   9.9 115 1    PASS   -0.4  0.5  472  1.9  1.6  1.8  5.4  4.7  5.1 "kl"
20100219.145130  9  102 1277195330 0.028 387.5   9.5 117 1    PASS   -0.2  0.3  472  1.5  1.5  1.5  4.1  4.2  4.0 "kl"
20100219.171119 10   98 1277195020 0.034 353.5   8.4 124 1    PASS   -2.0  2.2  472  2.5  2.3  2.4  6.0  5.2  5.7 "32ch kl"
20100219.172137 10   98 1277195020 0.030 352.4   9.7 125 1    PASS   -1.0  1.1  472  2.3  2.3  2.2  5.1  5.2  4.8 "32ch kl"
20100221.115259  9  103 1277194790 0.025 384.3  10.2 127 1    PASS   -0.3  0.4  472  1.9  1.6  1.8  5.5  4.3  5.0 "kl"
20100221.120700  9  103 1277194860 0.027 379.3  10.8 128 1    PASS   -0.3  0.4  472  1.6  1.5  1.5  4.2  4.1  3.7 "kl"
20100221.142956  9  107 1277194710 0.027 372.7  10.2 130 1    PASS   -0.5  0.5  472  1.8  1.6  1.7  5.2  4.5  4.8 "kl ucsdbirn3 "
20100221.143728  9  107 1277194780 0.028 370.9  10.4 131 1    PASS   -0.2  0.3  472  1.5  1.5  1.5  4.0  4.0  3.8 "kl ucsdbirn3 "
20100221.144536  9  107 1277194850 0.028 371.1   9.3 132 1    PASS   -0.2  0.3  472  1.5  1.5  1.5  3.9  4.0  3.7 "kl ucsdbirn3 "
20100221.145303  9  107 1277194850 0.028 368.7  10.8 133 1    PASS   -0.2  0.3  472  1.5  1.5  1.5  3.9  4.0  3.8 "kl ucsdbirn3"
20100221.150545 10  107 1277194920 0.030 311.6  11.7 134 1    PASS   -0.1  0.3  472  1.6  1.6  1.6  4.0  4.2  3.8 "ucsd birn3 fatsat kl"
20100221.151251 10  107 1277194990 0.031 311.2  10.6 135 1    PASS    0.2  0.3  472  1.6  1.6  1.6  4.0  4.0  3.9 "ucsdbirn3 fatsat kl"
20100221.152000 10  107 1277194990 0.029 314.8  12.1 136 2    PASS    0.1  0.2  472  1.6  1.6  1.6  3.9  4.0  3.8 "ucsdbirn3 fatsat kl"
20100221.152718 10  107 1277195060 0.029 314.1  12.2 137 1    PASS    0.2  0.2  472  1.6  1.6  1.6  3.9  4.0  3.9 "ucsdbirn3 kl fatsat"
20100223.192939  9  103 1277194000 0.038 327.8   8.4 265 1    PASS   -1.6  1.7  472  2.4  2.3  2.4  5.9  5.2  5.5 "ucsdbrin3 32ch "
20100223.194503  9  103 1277194070 0.032 329.4   9.9 266 1    PASS   -1.1  1.2  472  2.3  2.3  2.3  5.4  5.3  4.9 "ucsdbirn3 32ch"
20100223.195300 10  103 1277194070 0.035 327.5   8.7 267 1    PASS   -0.5  0.6  472  2.3  2.3  2.3  5.0  5.1  4.8 "ucsdbirn3 32ch"
20100223.223217  9  106 1277194240 0.028 381.5  10.8 270 1    PASS   -0.4  0.5  472  1.8  1.5  1.7  5.2  4.0  4.7 "kl"
20100223.231231  9  106 1277194240 0.027 379.7  10.8 276 1    PASS   -0.4  0.5  472  1.7  1.5  1.6  4.9  4.0  4.3 "kl"
20100224.143948  9  107 1277194000 0.027 378.6   9.2 316 1    PASS   -0.3  0.4  472  1.8  1.6  1.7  5.0  4.0  4.7 "ck"
20100226.113646  9  103 1277193680 0.029 410.1   8.6 324 1    PASS   -0.3  0.4  556  1.5  1.5  1.5  4.3  4.4  4.3 "kl"
20100226.121500  9  103 1277193760 0.027 372.5  11.2 327 1    PASS   -0.4  0.5  472  1.8  1.6  1.7  5.1  4.1  4.7 "ck"
20100301.100218  9  103 1277193220 0.027 390.5   9.6 393 1    PASS   -0.3  0.4  472  1.8  1.5  1.7  5.0  3.9  4.6 "ck"
20100302.070353  9  103 1277193050 0.025 389.9  10.3 421 1    PASS   -0.4  0.4  472  1.9  1.6  1.8  5.5  4.5  5.1 "ck"
20100303.072823  9  103 1277192810 0.026 384.0  10.3 483 1    PASS   -0.3  0.5  472  1.8  1.7  1.7  4.7  4.1  4.4 "Ron K"
