Date            R1  T1  CFreq      rms   sfnr    rdc study  Nout status drft drf2  esp  gmn gmn1 gmnN gtop gtop1 gtopN notes
20111031.151256  9  113 1277624860 0.157 331.8   2.1 90 1    FAIL   -0.7  1.7  468  1.6  1.6  1.6  4.5  4.5  4.5 "kl new coil"
20111031.152306  9  113 1277624860 0.074 375.2   4.0 91 0    PASS   -0.3  0.7  468  1.6  1.6  1.6  4.5  4.5  4.5 "kl new coil"
20111031.154224  9  113 1277624860 0.070 377.7   4.0 92 1    PASS   -0.2  0.6  468  1.6  1.6  1.6  4.5  4.4  4.5 "kl new coil"
20111031.155646  9  113 1277624930 0.074 377.4   3.7 93 1    PASS   -0.3  0.6  468  1.6  1.6  1.6  4.5  4.5  4.4 "kl new coil"
20111031.161054 10  112 1277624860 0.067 359.2   4.2 95 0    PASS   -0.3  0.6  468  1.3  1.3  1.3  2.8  2.8  2.8 "kl old coil"
20111031.162306 10  112 1277624930 0.070 356.8   4.1 96 1    PASS   -0.3  0.5  468  1.2  1.2  1.2  2.7  2.7  2.8 "kl old coil"
20111031.163517  9  112 1277624930 0.076 359.8   3.8 97 1    PASS   -0.3  0.5  472  1.3  1.3  1.3  2.9  3.1  2.8 "kl old coil esp=472"
20111031.164922  9  116 1277625000 0.069 370.4   3.7 99 1    PASS   -0.3  0.6  472  1.4  1.5  1.4  3.0  3.1  3.0 "kl 3tw coil"
20111031.170258  9  116 1277625000 0.073 372.1   3.5 100 0    PASS   -0.2  0.5  472  1.4  1.5  1.4  3.0  3.1  3.0 "kl 3tw coil"
20111031.171000  9  116 1277625070 0.068 371.8   4.1 101 1    PASS   -0.1  0.4  472  1.4  1.4  1.4  2.9  3.0  3.0 "kl 3tw coil"
20111031.171913  9  116 1277625070 0.060 374.5   4.0 103 1    PASS   -0.2  0.5  472  1.4  1.4  1.4  3.0  3.0  3.0 "kl 3tw coil"
20111101.155707  9  108 1277624620 0.056 401.2   4.3 126 1    PASS   -0.3  0.6  472  1.4  1.4  1.4  2.9  3.1  2.9 "kl old coil"
20111101.161347  9  108 1277624690 0.074 386.6   3.7 128 1    PASS   -0.4  0.7  472  1.2  1.3  1.2  2.7  2.9  2.7 "kl old coil"
20111031.154224  9  113 1277624860 0.070 377.7   4.0 92 1    PASS   -0.2  0.6  468  1.6  1.6  1.6  4.5  4.4  4.5 ""
20111102.112836  9  115 1277624470 0.052 385.3   5.2 137 1    PASS   -0.2  0.4  472  1.4  1.5  1.4  3.2  3.5  3.1 "kl new coil"
20111102.113559  9  115 1277624540 0.049 383.8   5.2 138 1    PASS   -0.1  0.3  472  1.3  1.3  1.3  2.8  2.9  2.9 "kl new coil"
20111102.115129  9  115 1277624610 0.051 385.6   5.4 139 1    PASS   -0.3  0.5  472  1.4  1.4  1.4  3.0  3.2  2.9 "kl new coil"
20111102.145937  9  117 1277624470 0.070 370.1   3.9 158 1    PASS   -0.3  0.5  472  1.4  1.4  1.4  3.0  3.0  2.9 "kl new coil"
20111102.145937  9  117 1277624470 0.070 370.1   3.9 158 1    PASS   -0.3  0.5  472  1.4  1.4  1.4  3.0  3.0  2.9 "kl newcoil"
20111102.162434  9  117 1277624540 0.078 374.3   3.4 160 1    PASS   -0.2  0.6  472  1.4  1.5  1.4  3.3  3.5  3.2 "kl new coil"
20111102.163654  9  117 1277624540 0.083 371.8   3.5 161 1    PASS   -0.2  0.6  472  1.4  1.4  1.4  3.1  3.3  3.1 "kl new coil"
20111102.164400  9  117 1277624610 0.083 373.4   3.5 162 1    PASS   -0.2  0.4  472  1.4  1.4  1.4  3.0  2.9  3.0 "kl new coil"
20111103.101954  9  111 1277624310 0.067 391.0   3.9 166 1    PASS   -0.4  0.7  472  1.4  1.4  1.4  3.4  3.5  3.2 "kl old coil"
20111103.102740  9  111 1277624380 0.066 392.2   4.7 167 1    PASS   -0.2  0.6  472  1.3  1.3  1.3  2.8  2.9  2.8 "kl old coil"
20111103.104307  9  112 1277624450 0.057 396.1   4.8 169 1    PASS   -0.3  0.5  472  1.4  1.4  1.4  2.9  3.0  2.9 "kl new coil"
20111103.105016  9  112 1277624520 0.057 395.3   4.5 170 1    PASS   -0.1  0.3  472  1.3  1.3  1.3  2.7  2.7  2.8 "new coil"
20111103.155401  9  112 1277624150 0.072 377.9   3.7 198 0    PASS   -0.4  0.7  472  1.4  1.4  1.4  3.6  3.8  3.4 "kl old coil"
20111103.160949 10  112 1277624150 0.088 352.7   3.4 200 1    PASS   -0.3  0.6  472  1.3  1.4  1.3  2.8  3.1  2.7 "kl old coil different phantom"
20111103.163023  9  116 1277624220 0.077 351.8   3.8 202 2    PASS   -0.4  0.6  472  1.3  1.4  1.3  3.0  3.2  2.9 "repeat"
20111104.130908  9  115 1277624000 0.080 379.7   3.4 211 1    PASS   -0.2  0.5  472  1.3  1.4  1.3  2.9  3.0  2.8 "kl new ocil"
20111104.135012  9  115 1277624000 0.076 381.0   3.5 212 1    PASS   -0.2  0.5  472  1.3  1.4  1.3  2.8  3.0  2.8 "kl new coil after Ron replaced the door seal."
20111104.135732  9  115 1277624070 0.081 381.8   3.4 213 1    PASS   -0.1  0.4  472  1.3  1.3  1.3  2.5  2.5  2.6 "kl new coil"
20111104.145824  9  115 1277624070 0.070 387.6   3.8 216 1    PASS   -0.2  0.6  472  1.3  1.3  1.3  2.7  2.8  2.7 "kl new coil"
20111104.143812  9  115 1277624000 0.045 508.7   4.3 214 1    PASS    0.1  0.3  416  1.3  1.3  1.3  2.6  2.2  2.7 ""
20111104.145824  9  115 1277624070 0.070 387.6   3.8 216 1    FAIL   -0.2  0.6  472  1.3  1.3  1.3  2.7  2.8  2.7 ""
20111104.145824  9  115 1277624070 0.070 387.6   3.8 216 1    FAIL   -0.2  0.6  472  1.3  1.3  1.3  2.7  2.8  2.7 ""
20111104.145824  9  115 1277624070 0.070 387.6   3.8 216 1    FAIL   -0.2  0.6  472  1.3  1.3  1.3  2.7  2.8  2.7 ""
20111107.153730  9  117 1277623600 0.072 374.1   3.7 224 1    FAIL   -0.4  0.6  472  1.4  1.4  1.4  3.1  3.3  2.9 "kl new coil"
20111107.155026  9  117 1277623600 0.083 367.8   3.1 225 2    FAIL   -0.2  0.6  472  1.4  1.4  1.4  3.0  3.2  2.9 "kl new coil"
20111108.121806  9  115 1277623690 0.088 383.0   3.2 233 1    FAIL   -0.4  0.7  472  1.3  1.3  1.3  2.8  2.8  2.8 "kl new coil"
20111108.123119  9  115 1277623690 0.088 383.6   3.1 234 1    FAIL   -0.4  0.7  472  1.3  1.3  1.3  2.8  2.8  2.8 "kl new coil"
20111114.112501  9  113 1277621480 0.069 361.9   4.2 326 0    FAIL   -0.3  0.6  472  1.4  1.4  1.4  3.3  3.5  3.2 "kl old coil"
20111114.170121 10  118 1277621480 0.065 369.8   4.2 345 0    FAIL   -0.4  0.6  472  1.4  1.5  1.4  3.6  3.9  3.5 "kl"
20111114.171855 10  118 1277621550 0.069 365.5   4.2 346 0    FAIL   -0.4  0.6  472  1.4  1.4  1.4  3.4  3.6  3.3 "kl"
20111115.160311 10  113 1277621320 0.059 372.2   4.8 366 1    PASS   -0.3  0.5  472  1.6  1.6  1.6  4.2  4.5  4.0 "kl old coil"
20111115.161124 10  113 1277621390 0.060 372.6   4.8 367 1    PASS   -0.2  0.5  472  1.4  1.4  1.4  3.1  3.3  3.0 "kl"
20111115.163805 10  113 1277621390 0.061 368.5   4.5 368 1    FAIL   -0.3  0.5  472  1.3  1.4  1.3  3.1  3.4  3.0 "kl"
20111116.155338  9  108 1277621350 0.068 396.8   3.9 391 1    FAIL   -0.3  0.5  472  1.3  1.3  1.3  2.6  2.6  2.6 "kl after new RF cables"
20111116.165758  9  108 1277621350 0.061 393.7   4.0 392 1    FAIL   -0.6  0.9  472  1.3  1.4  1.3  2.8  2.9  2.7 "kl after new RF exciter"
20111116.173640  9  120 1277621430 0.057 369.9   4.6 395 1    PASS   -0.3  0.5  472  1.5  1.5  1.5  3.4  3.3  3.5 "kl 3tw coil and phantom"
20111116.175412  9  120 1277621500 0.059 368.1   4.6 396 1    PASS   -0.3  0.5  472  1.5  1.5  1.5  3.6  3.7  3.6 "kl 3tw body hybrid"
20111116.213330  9  125 1277621440 0.031 385.6   8.1 398 1    FAIL   -0.8  0.9  472  1.4  1.5  1.4  3.4  3.5  3.3 "kl 3twest RF amp"
20111116.214239  9  125 1277621510 0.026 381.9   9.8 399 0    PASS   -0.3  0.5  472  1.4  1.4  1.4  3.4  3.4  3.3 "kl again"
20111116.215428 10  125 1277621510 0.031 390.6   9.3 401 1    FAIL   -0.6  0.7  472  1.3  1.4  1.3  2.9  3.2  2.9 "kl back to 3te old coil and phantom"
20111116.220336 10  125 1277621580 0.029 388.0   9.6 402 1    PASS   -0.4  0.4  472  1.3  1.3  1.3  2.8  2.9  2.8 "kl again"
20111116.231913 10  125 1277621580 0.066 374.9   4.1 403 0    FAIL   -0.5  0.7  472  1.4  1.4  1.4  3.2  3.5  3.0 "kl original amp and old coil"
20111116.233317 10  125 1277621650 0.050 375.6   5.7 404 2    PASS   -0.3  0.5  472  1.3  1.4  1.3  2.9  3.1  2.9 "kl again"
20111117.084210  9  117 1277621520 0.065 384.8   4.5 406 1    FAIL   -0.4  0.7  472  1.4  1.5  1.4  3.6  3.8  3.5 "Ron K"
20111117.085258  9  117 1277621590 0.065 379.5   4.2 408 1    FAIL   -0.2  0.5  472  1.3  1.4  1.3  3.2  3.3  3.2 "2nd run, still failed Ron K"
20111117.112513 10  118 1277621350 0.053 548.4   3.8 411 1    FAIL   -0.2  0.4  396  1.2  1.2  1.2  2.7  2.8  2.7 "fov 280 esp396"
20111117.113434 10  118 1277621350 0.057 491.9   3.7 412 1    FAIL   -0.2  0.5  420  1.6  1.6  1.6  4.1  3.8  4.2 "fov 260 esp 420"
20111117.114144 10  118 1277621350 0.061 432.8   3.6 413 1    FAIL   -0.1  0.4  444  5.8  5.8  5.8 15.2 15.2 15.2 "fov 240 esp 444"
20111117.115056 10  118 1277621350 0.066 372.8   4.2 414 1    FAIL   -0.3  0.6  472  8.1  8.1  8.1 26.9 27.2 26.9 "fov 220 esp 472"
20111117.115803 10  118 1277621350 0.071 315.4   4.5 415 1    FAIL   -0.0  0.4  504  1.4  1.4  1.4  3.7  3.7  3.7 "fov 200 esp 504"
20111121.105404  9  128 1277620500 0.073 371.4   3.8 449 0    FAIL   -0.5  0.8  472  1.4  1.4  1.4  3.5  3.7  3.4 "kl old coil"
20111121.110232  9  128 1277620500 0.069 371.1   3.9 450 1    FAIL   -0.3  0.5  472  1.3  1.3  1.3  3.0  3.1  2.9 "kl old coi"
20111121.115848  9  119 1277620580 0.072 374.3   3.9 454 2    FAIL   -0.3  0.6  472  1.3  1.3  1.3  3.0  3.3  2.9 "kl again"
20111122.074647  9  113 1277620180 0.068 409.0   3.7 456 1    FAIL   -0.4  0.7  472  1.4  1.4  1.4  3.6  3.8  3.5 "Ron K"
20111122.101847 10  115 1277620260 0.053 368.0   5.3 460 1    PASS   -0.3  0.6  416  1.4  1.4  1.4  3.1  2.8  3.2 "kl esp 412"
20111122.140853 10  112 1277620330 0.033 401.0   8.7 462 1    FAIL   -0.6  0.7  472  1.4  1.4  1.3  3.4  3.7  3.1 "kl new amp"
20111122.141802 10  112 1277620330 0.029 400.4   9.3 463 0    PASS   -0.5  0.6  472  1.3  1.3  1.2  2.7  2.9  2.6 "kl new RF amp"
20111122.142523 10  112 1277620400 0.029 400.2   9.3 464 1    PASS   -0.3  0.4  472  1.2  1.2  1.2  2.5  2.6  2.5 "kl new RF amp"
20111123.073450  9  111 1277620170 0.035 412.5   7.3 468 1    PASS   -0.5  0.7  472  1.4  1.4  1.4  3.4  3.5  3.3 "Ron K"
20111128.075142  9  110 1277618910 0.028 420.2   8.0 491 1    PASS   -0.5  0.6  472  1.3  1.4  1.3  3.3  3.5  3.1 "Birn 1 Ron K"
20111128.080409  9  110 1277618980 0.031 420.6   8.1 492 1    PASS   -0.5  0.6  472  1.3  1.3  1.2  3.1  3.3  3.0 "Birn 2 Ron K"
20111128.081110  9  110 1277618980 0.032 417.2   7.9 493 1    PASS   -0.2  0.3  472  1.2  1.2  1.2  2.8  2.9  2.9 "Birn 3 Ron K"
20111128.082300  9  110 1277619050 0.031 416.8   8.1 494 1    PASS   -0.4  0.5  472  1.2  1.3  1.2  2.9  3.1  2.9 "Birn 4 Ron K"
20111128.083046  9  110 1277619120 0.032 417.3   7.5 495 1    PASS   -0.3  0.4  472  1.2  1.2  1.2  2.9  2.9  2.9 "Birn 5 Ron K"
20111128.083848  9  110 1277619120 0.031 416.4   8.1 496 1    PASS   -0.3  0.4  472  1.2  1.2  1.2  2.8  2.9  2.8 "Birn 6 Ron K"
20111128.084616  9  110 1277619190 0.031 415.3   7.9 497 0    PASS   -0.2  0.3  472  1.2  1.2  1.2  2.8  2.9  2.8 "Birn 7 Ron K"
20111128.085338  9  110 1277619190 0.032 417.2   7.6 498 0    PASS   -0.2  0.4  472  1.2  1.2  1.2  2.8  2.8  2.8 "Birn 8 Ron K"
20111129.075459  9  110 1277618840 0.032 413.3   7.0 503 1    PASS   -0.5  0.6  472  1.3  1.4  1.3  3.3  3.5  3.2 "Birn 1 Ron K"
20111129.080304  9  110 1277618910 0.031 413.4   8.2 504 1    PASS   -0.3  0.5  472  1.3  1.3  1.3  3.2  3.2  3.1 "Birn 2 Ron K"
20111129.081023  9  110 1277618980 0.029 410.2   9.2 505 1    PASS   -0.3  0.4  472  1.3  1.3  1.3  3.3  3.3  3.2 "Birn 3 Ron K"
20111129.081748  9  110 1277619050 0.030 409.5   8.6 506 0    PASS   -0.2  0.4  472  1.3  1.3  1.3  3.2  3.2  3.2 "Birn 4 Ron K"
20111129.082515  9  110 1277619050 0.029 408.1   8.5 507 1    PASS   -0.2  0.3  472  1.3  1.3  1.3  3.3  3.3  3.3 "Birn 5 Ron K"
20111129.083221  9  110 1277619120 0.029 410.3   8.3 508 0    PASS   -0.2  0.3  472  1.3  1.3  1.3  3.3  3.3  3.3 "Birn 6 Ron K"
20111129.083922  9  110 1277619190 0.030 411.3   8.6 509 1    PASS   -0.2  0.3  472  1.3  1.3  1.3  3.2  3.2  3.2 "Birn 7 Ron K"
20111129.084634  9  110 1277619190 0.029 405.7   7.8 510 1    PASS   -0.2  0.3  472  1.3  1.3  1.3  3.3  3.2  3.3 "Birn 8 Ron K"
20111130.074837  9  112 1277619320 0.032 390.9   8.4 523 2    PASS   -0.3  0.4  472  1.4  1.4  1.4  3.4  3.5  3.4 "ck"
20111130.075557  9  112 1277619390 0.029 390.1  10.0 524 0    PASS   -0.2  0.3  472  1.4  1.4  1.4  3.4  3.4  3.4 "ck"
20111130.080407  9  112 1277619460 0.029 391.7   8.8 525 1    PASS   -0.3  0.4  472  1.4  1.4  1.4  3.4  3.4  3.3 "ck"
20111130.081146  9  112 1277619530 0.029 392.0   8.1 526 0    PASS   -0.2  0.4  472  1.4  1.4  1.4  3.3  3.3  3.3 "ck"
20111130.082018  9  112 1277619600 0.029 390.4   9.4 527 1    PASS   -0.3  0.5  472  1.4  1.4  1.4  3.4  3.4  3.4 "ck"
20111130.083052 10  112 1277619600 0.031 393.0   9.1 528 1    PASS   -0.4  0.6  472  1.4  1.4  1.4  3.2  3.2  3.1 "ck"
20111130.083834 10  112 1277619600 0.032 389.1   8.5 529 1    PASS   -0.2  0.4  472  1.4  1.4  1.4  3.2  3.2  3.2 "ck"
20111130.084554  9  112 1277619670 0.030 389.1   8.6 530 1    PASS   -0.2  0.3  472  1.4  1.4  1.4  3.3  3.4  3.3 "ck"
20111130.085311  9  112 1277619670 0.029 389.6   8.4 531 0    PASS   -0.2  0.3  472  1.4  1.4  1.4  3.4  3.4  3.3 "ck"
20111201.074819  9  111 1277618840 0.030 411.5   7.3 534 1    PASS   -0.5  0.6  472  1.3  1.3  1.3  3.0  3.2  2.9 "Birn 1 Ron K"
20111201.075533  9  111 1277618910 0.028 412.6   8.3 535 1    PASS   -0.2  0.3  472  1.2  1.2  1.2  2.8  2.9  2.8 "Birn 2 Ron K"
20111201.080351  9  111 1277618980 0.029 411.7   8.7 536 1    PASS   -0.3  0.5  472  1.2  1.2  1.2  2.7  2.8  2.7 "Birn 3 Ron K"
20111201.081149  9  111 1277619050 0.031 411.0   8.4 537 1    PASS   -0.3  0.5  472  1.2  1.2  1.2  2.7  2.8  2.7 "Birn 4 Ron K"
20111201.081955  9  111 1277619050 0.030 410.5   8.6 538 1    PASS   -0.3  0.4  472  1.2  1.2  1.2  2.7  2.7  2.7 "Birn 5 Ron K"
20111201.082749  9  111 1277619120 0.027 410.7   8.4 539 0    PASS   -0.3  0.4  472  1.2  1.2  1.2  2.6  2.7  2.7 "Birn 6 Ron K"
